SYMBOL,PCLOSE,OPEN,HIGH,LOW,CLOSE,CHANGE,%CHANGE,TRADES,VOLUME,VALUE,DATE
TRANSEXPR,2.15,2.15,0,0,2.15,0,0,3,6554,15467.44,30/07/2025
TRANSPOWER,320,320,0,0,320,0,0,78,194348,55972224,30/07/2025
TRIPPLEG,3.86,3.86,4.24,4.24,4.24,0.38,9.84,24,259349,1093556.98,30/07/2025
UACN,66.4,73,73,73,73,6.6,9.94,110,2985270,217921650,30/07/2025
UBA,47.8,47.8,48.1,47.05,48,0.2,0.42,1220,25959804,1238959235,30/07/2025
UCAP,20.8,20.8,20.75,19.3,19.9,-0.9,-4.33,600,12443844,249356417.6,30/07/2025
UHOMREIT,64,64,0,0,64,0,0,28,185116,12101162,30/07/2025
UNILEVER,72.5,72.5,72.5,72.5,72.5,0,0,181,1889155,137091605.4,30/07/2025
UNIONDICON,9,9,0,0,9,0,0,14,113657,1004644.4,30/07/2025
UNIVINSURE,0.77,0.77,0.84,0.77,0.8,0.03,3.9,187,32294156,26048009.32,30/07/2025
UPDC,5.5,5.5,5.7,5.5,5.53,0.03,0.55,287,6216311,34616269.3,30/07/2025
UPDCREIT,9.45,9.45,9.45,9.35,9.35,-0.1,-1.06,149,2489473,23454496.9,30/07/2025
UPL,5.7,5.6,5.98,5.6,5.7,0,0,65,2009701,11688694.88,30/07/2025
VERITASKAP,1.17,1.17,1.22,1.17,1.17,0,0,137,14918477,17838233.11,30/07/2025
VFDGROUP,14,14,14,13.5,14,0,0,526,10852011,150159107.7,30/07/2025
VITAFOAM,79.1,79.1,74.8,72.75,74.8,-4.3,-5.44,307,2677522,196943978.6,30/07/2025
WAPCO,140.3,140.3,154.3,150,151,10.7,7.63,1062,14589971,2155727733,30/07/2025
WAPIC,2.6,2.6,2.6,2.35,2.47,-0.13,-5,179,9675553,23518727.96,30/07/2025
WEMABANK,19.25,19.25,20,19,20,0.75,3.9,555,24519678,475239744.3,30/07/2025
ZENITHBANK,73,73,75.95,72.1,75,2,2.74,1541,20575230,1512633554,30/07/2025
FGSUK2032S5,98,98,91.01,91.01,91.01,-6.99,-7.13,1,1,910.1,30/07/2025
FGS202888,130,130,112,112,112,-18,-13.85,1,5,5600,30/07/2025
FG192038S2,97,97,97,50,97,0,0,2,180,127600.24,30/07/2025
FGSUK2031S4,91,91,88,85,88,-3,-3.3,3,15895,13960645,30/07/2025
FGSUK2033S6,95.5,95.5,100,95.5,100,4.5,4.71,2,20002,20001930,30/07/2025
IAO2026S1,100,100,97.29,97.29,97.29,-2.71,-2.71,1,40000,38916000,30/07/2025
EPF2026S1,100,100,96.73,96.73,96.73,-3.27,-3.27,1,500000,483650000,30/07/2025
FID2031S1,100,100,69.23,69.23,69.23,-30.77,-30.77,1,750000,519225000,30/07/2025
NEWGOLD,52105,52105,56000,55999,55999,3894,7.47,3,3,167999,30/07/2025
SIAMLETF40,350,350,385,385,385,35,10,1,5,1925,30/07/2025
MERGROWTH,605,605,665.5,665.5,665.5,60.5,10,2,10,6655,30/07/2025
VSPBONDETF,321,321,321,321,321,0,0,1,70,22470,30/07/2025
VETINDETF,45.9,45.9,45.9,45.9,45.9,0,0,2,110,5049,30/07/2025
VETGRIF30,47.5,47.5,49,46.9,49,1.5,3.16,4,395,18536,30/07/2025
GREENWETF,270,270,270,270,270,0,0,2,498,134460,30/07/2025
STANBICETF30,489.99,489.99,499.99,441,489.98,-0.01,0,11,709,318914.84,30/07/2025
VETGOODS,30.2,30.2,33,30,33,2.8,9.27,5,5010,150330,30/07/2025
VETBANK,15.5,15.5,15.5,15.5,15.5,0,0,11,18419,285494.5,30/07/2025
LOTUSHAL15,60.5,60.5,60.5,54.45,54.45,-6.05,-10,4,20880,1263227.9,30/07/2025
